Group,x,y,t,s
I,29.76765944,-92.33450246,1,1
G,15.37886979,-133.9170018,1,1
I,6.747895699,200.9238032,0,1
I,-10.59813838,252.7551186,0,1
F,38.72469844,-92.9647162,1,1
H,-13.94370597,89.86341397,0,0
H,-17.14524236,91.79675773,0,1
G,1.649749989,161.590859,1,0
G,10.6932773,263.5623815,1,1
I,-19.66808328,39.06545684,0,0
G,35.89236797,118.3151291,1,1
F,22.85949545,-142.2902864,1,0
G,23.61470477,-78.25736627,1,1
H,24.64731899,518.0347205,0,0
G,2.956480514,27.67301897,1,1
H,-19.78696692,421.1579301,0,1
H,-6.721173937,326.2354132,0,1
I,31.65430993,52.55898027,0,0
F,18.63925804,206.7545084,1,0
G,20.62535199,275.5796233,0,1
G,4.993019938,140.7102638,1,0
F,26.31971658,-168.6792884,1,1
G,-9.531518867,70.31085974,1,1
F,40.54453005,-297.8397439,1,1
H,-3.549058466,437.5790076,0,0
H,-3.560713126,242.004301,0,0
I,6.409560209,9.877085701,1,1
H,35.02687315,436.9383609,0,0
G,32.09663491,1.817727308,1,0
F,40.58500307,38.5787953,1,0
G,11.25770068,143.616223,1,0
F,20.99937283,74.91891946,1,0
F,45.63535717,-330.6905818,1,1
H,21.21544252,300.397294,0,0
G,21.30290197,-95.89925576,1,0
H,-20.54655463,142.2233963,1,0
F,0.571405211,16.41619081,1,0
H,10.66388597,555.8052105,0,0
I,-13.94758017,11.28361082,0,1
H,-37.91963329,193.5660212,0,1
H,9.655261261,152.283826,0,0
H,-5.003593489,349.5969341,0,0
G,-0.419414593,113.121681,1,0
G,-19.44823885,308.5635197,1,0
F,1.791529812,258.4649285,1,0
I,17.24806575,-49.06945668,1,1
I,-26.99925698,77.51477947,0,1
G,-27.5271661,229.7787297,1,1
H,-40.69421103,-172.3984256,0,1
H,30.27526278,392.7398671,0,1
I,6.243752656,-7.445514265,0,1
H,-2.266108515,199.8743849,0,1
H,-16.87071754,295.8061402,0,1
H,-14.95654592,62.96283502,0,1
H,-18.4461664,199.0267949,0,1
I,40.72760691,26.99127803,0,0
G,30.48506982,-197.3008741,1,0
F,-36.51821569,506.6452433,1,1
F,32.99683626,-160.1267496,1,1
G,-19.61386903,356.3583724,1,0
G,-3.812010792,115.4715596,1,0
F,14.1772453,-84.12328771,1,1
F,-12.35911363,354.2323506,1,1
I,14.03348625,-128.2048235,1,1
F,5.241304061,305.3402798,1,1
I,11.73475719,36.50499797,1,0
F,4.797177716,13.41352592,1,1
H,31.52278499,466.1255823,0,0
H,-12.85831324,236.8544851,0,0
I,21.26202459,48.45468212,1,1
H,6.403859005,449.573514,0,1
I,16.84919001,-81.47244631,0,1
F,-16.59157764,223.3187232,1,0
G,-14.79095849,508.1513323,1,0
F,9.9501607,-110.130058,1,0
F,53.83906328,-345.0437613,1,1
F,-0.572134151,-103.7522642,1,1
F,47.97268668,-166.5724235,1,0
F,19.18794755,-167.975863,1,0
G,18.8379096,259.3758732,1,1
I,-43.38710511,-246.2507543,1,1
F,-3.545848023,123.7330795,1,0
I,-2.486656714,88.91947906,1,0
G,-19.60916199,326.3652194,1,0
G,-2.720454496,149.3193077,1,0
G,46.8676035,-198.6552884,1,0
G,27.55926437,-98.19424487,1,1
G,-29.93603076,421.7693962,0,0
F,-4.363952729,280.5891597,1,0
F,25.63455718,-307.9876582,1,1
G,10.86489797,122.2655333,1,1
I,-3.123250109,-165.1807056,1,1
F,49.62535058,-296.5109938,1,1
F,20.28167409,208.9661192,0,0
G,-52.99264311,408.7425908,1,1
H,-20.51769731,127.4340078,0,0
H,10.95932537,132.7653168,0,0
H,-20.65505998,14.45515474,0,0
G,29.21342397,-27.39551671,0,1
H,-2.492808542,135.8104293,0,1
I,-19.78499406,44.04611013,1,0
G,-13.95107419,576.2698002,1,1
F,-6.264573943,281.7366187,1,1
F,-4.865107471,414.0792904,1,0
G,18.70663865,192.4054239,1,1
G,6.146083448,266.4207428,1,0
I,-6.877974137,56.98209458,1,1
G,-17.83424514,445.5526032,1,0
H,-15.47817903,144.4083258,0,0
H,-19.96643187,453.6983796,0,1
I,5.044493917,179.2601316,1,1
F,-17.40620372,278.9276961,1,1
G,0.297314292,180.2854366,1,0
H,5.023622583,354.2589758,0,0
H,0.436673119,288.7328433,0,0
H,-33.5803774,151.8841041,0,1
I,-25.44364243,167.0965895,1,0
H,-41.33879487,-200.7266269,0,1
F,-19.280513,595.8453417,1,0
G,29.10797533,52.45534644,1,1
I,-8.924372833,188.0833096,0,0
H,-15.79687058,1.94306705,0,1
G,-4.29863403,222.1873039,0,1
F,-14.13905919,342.365764,1,0
G,47.33152643,-385.6226546,1,0
H,-5.637316467,61.38858581,0,1
G,-16.99310206,231.5303104,1,1
I,27.26702867,217.2544192,1,1
I,29.01629223,123.4200217,1,0
H,-21.65473353,152.4448525,0,0
F,-0.841469565,257.643119,1,0
F,3.689243225,205.453139,1,1
I,-12.72945999,65.82107732,1,1
G,-43.32235925,119.5358252,1,1
G,13.1057618,94.70069178,1,0
F,6.080188898,11.57761434,1,0
G,11.02302961,309.0440418,1,1
F,14.8591102,71.02118285,1,1
I,-2.398403392,-63.60101378,0,0
F,41.89465231,-382.4604558,1,0
G,39.81844183,-297.1142707,1,0
G,1.58752953,313.9417818,1,0
I,-14.23341652,22.71919471,1,1
G,-1.24950507,187.6647363,1,0
F,11.94160261,57.41853253,1,1
I,-0.832373811,-75.16413196,1,1
G,19.18676915,258.1168863,1,1
F,26.40485683,-34.84487709,1,0
G,-38.73655864,344.141061,1,1
I,20.14499407,-37.27361384,1,1
I,16.78509445,45.34004304,1,1
I,2.611507817,156.1133908,1,1
G,-1.831412616,214.8353342,1,0
I,-37.35119828,-136.5245031,0,1
I,-1.983655814,-6.756473279,0,1
H,-41.44193435,15.09797097,0,0
I,-10.96658119,-86.43373964,1,1
I,30.78521315,81.2468769,1,0
I,-27.65065352,-211.0159007,1,1
F,9.570385332,204.7985612,1,1
G,5.870822464,69.22185623,1,1
G,15.46338735,395.9756457,1,0
H,27.76959552,402.7436643,0,0
F,9.067532711,118.5546763,1,0
H,-7.711450443,117.6780495,0,1
I,-2.055075591,72.99890984,0,0
F,11.74323328,169.5979878,1,1
H,-51.85378218,17.35238253,0,0
F,36.75363773,-37.66005164,1,0
I,20.65525473,41.14946633,0,0
G,37.89660904,-231.6212588,1,1
G,14.86879693,84.08282898,1,1
H,6.366173104,630.3316368,0,0
H,-36.50373909,111.4271194,0,0
G,7.753884334,-241.5369921,1,1
I,13.85690991,81.30044579,0,0
F,-7.269487035,103.288669,1,1
I,-8.360399998,-171.7828126,1,1
F,20.91877453,1.183493597,1,1
F,24.34300508,-106.432465,1,1
G,12.47612969,408.84275,1,0
G,-1.06119805,203.9651943,1,1
H,-18.40266455,478.2787467,0,0
F,38.12358204,-121.9061309,1,0
F,-4.363193332,467.6224559,1,0
F,26.44532177,82.05280569,1,0
F,42.71375697,-169.5170274,0,0
F,43.06569931,-178.7505592,1,1
I,34.80885681,115.3089851,0,0
F,9.34416859,-59.4507593,1,0
I,25.31849615,321.1180025,1,1
I,-1.111818833,99.12080116,1,1
I,9.568482462,170.0144849,1,1
F,15.98443854,389.8918297,1,0
G,5.877277133,-36.1304356,1,0
G,31.41704171,69.88863356,1,1
G,37.25929004,-14.45017682,1,1
H,-9.203327568,138.7923196,0,1
F,19.79776987,-57.9433783,1,0
I,4.297347175,115.4812706,1,1
G,24.48821496,282.1642645,1,0
F,6.415824108,178.069497,1,0
H,-27.10437705,98.17543525,0,0
H,-1.027632629,335.6945702,0,0
H,-41.12197908,266.8942292,0,0
F,-5.017224374,440.9917671,1,1
I,-4.085511887,208.7992368,1,0
G,-10.29183287,101.4985691,0,1
F,20.78977971,-10.23694171,1,0
F,-29.84837569,308.9784808,1,1
F,29.61839668,-163.833399,1,0
H,-45.90670665,-71.55353147,0,0
H,-13.36971251,45.43610709,0,1
I,-9.884683772,-1.067841415,0,0
F,39.94662245,-63.86261728,1,1
G,13.54357545,53.32950015,1,1
G,5.338826409,106.9474009,1,0
F,6.495531266,420.3495418,1,0
G,-18.98019219,413.317771,1,1
H,-32.41005218,76.78029813,0,1
G,-19.30465207,500.9220798,1,1
F,29.95129294,-180.5939713,0,1
I,-0.969120829,-15.20925872,1,0
F,21.28656961,-56.06724727,1,1
I,8.441916457,-151.4412295,1,0
F,15.85290782,2.507114222,1,1
F,22.02076411,-30.22925601,1,0
F,-10.36977587,552.1637382,1,0
G,8.488918066,101.1804186,1,0
G,19.88004625,16.28395922,1,1
G,27.63259839,-120.0322912,1,0
F,24.32296836,68.88992434,1,0
F,31.55200554,-74.70101966,1,0
H,18.65688852,617.9482576,0,1
G,-14.34462287,205.1495519,1,1
H,-14.67007562,52.52020345,0,0
H,-25.66122691,351.1011581,0,0
F,49.5562581,-196.1771268,1,1
H,24.98157421,513.5236348,0,1
I,-8.310098641,-239.672118,1,1
G,-8.335680097,94.73883538,1,0
H,-9.919402583,312.4082434,0,1
H,-28.74064685,268.0309972,0,1
H,2.457712237,407.4303059,0,0
G,36.88778668,-194.9725148,1,1
G,-15.86624401,646.2730382,1,0
I,18.20183015,13.3015624,1,0
F,-2.83190575,265.4109433,1,1
G,-10.16253159,85.11622866,1,1
H,-73.77537191,-251.1682294,0,1
G,-30.15310284,451.9874759,1,0
G,-2.552069506,232.7940989,1,1
I,2.857470417,130.0482084,1,1
F,30.15478627,51.61736969,1,1
F,-25.30619036,506.8826071,1,1
G,-15.54591222,189.4985518,0,0
G,16.82054648,259.1143384,1,0
I,6.799058295,-62.72010041,1,1
H,-14.81210363,514.3951293,0,1
I,13.65363947,75.72439427,0,1
H,-15.79024719,143.1007285,0,0
H,-14.12754889,161.6889609,0,1
I,15.79042761,13.61802611,1,0
I,6.703829051,-8.073300861,1,1
I,14.24487225,108.489955,0,1
H,15.53374112,381.420508,0,0
F,0.506309542,315.8478766,1,0
G,17.73112723,4.386892862,1,1
F,8.36065636,46.05898125,1,0
I,-5.011138914,81.61285972,0,0
I,-47.39586886,-97.20920849,0,1
I,-5.309928409,10.23555358,1,0
G,-25.42989917,300.9255251,1,0
H,-35.43443181,-50.84515231,0,1
H,7.258657128,554.2711319,0,0
G,16.77361674,294.4873548,1,1
H,9.986235829,486.6240537,0,0
G,-3.203128317,20.34054336,1,1
G,-14.39530252,157.0333968,1,0
G,4.451954313,165.0937311,1,0
I,-9.918873753,-25.85496209,1,1
H,-7.25658301,308.565734,0,1
F,-4.943778491,264.6012659,1,0
H,-52.11907693,-167.1094236,0,1
I,5.411833321,73.90780011,0,1
H,-34.8016288,28.41067092,0,1
H,-12.76458661,239.3246022,0,0
F,28.99523511,97.27499781,1,1
I,15.09440621,-77.87759674,1,1
F,-7.074691884,427.5286045,1,0
G,-21.06308813,279.7285679,1,0
I,-10.48929296,210.8003982,1,0
F,15.03540136,156.8635795,1,0
F,49.28255072,-170.2499955,1,0
G,22.87637697,19.74511081,1,0
F,37.84241131,46.62109966,1,0
G,-49.57660165,456.0314847,1,0
I,20.0092415,220.8691252,1,1
F,46.05077748,-206.467608,1,0
I,-2.358024085,-253.4674644,0,1
F,-4.939277418,448.4965959,1,0
I,-14.13340493,-184.7800393,1,1
H,40.4413305,470.9798792,0,0
I,34.34109444,214.2810123,1,1
H,10.79311082,293.6448503,0,1
F,9.029365937,144.7979779,1,0
F,22.55396513,-257.259888,0,1
H,12.75152232,359.7459523,0,1
G,-17.91569478,133.3739963,1,0
I,-16.65790025,-16.16914288,0,0
H,11.929437,374.7465708,0,0
G,38.38410355,-46.97426294,1,0
G,19.17704866,-142.1782203,1,0
G,-6.107396832,73.32755788,1,0
H,-26.8146623,-14.77534915,0,1
H,-4.186173753,209.9118232,0,1
I,-29.08729423,95.34986011,1,1
I,-33.05733987,-86.86872046,1,0
H,-0.164195485,355.2315238,0,1
H,-17.80908544,105.3792991,0,0
H,-25.80338266,2.30608438,0,0
G,-10.67100097,224.8653583,0,1
I,-12.63323332,-71.27653535,1,1
G,9.929122025,23.47426906,1,0
I,-16.47997209,-78.849617,0,0
F,43.53855522,-340.1009824,1,1
F,-13.15734441,365.8231881,0,1
F,-6.062040173,311.9549731,1,1
G,30.60688314,-228.5980533,1,0
F,-4.411307653,281.2959417,1,0
H,-15.71177087,277.8020759,0,1
I,6.200832557,24.91323561,1,1
G,2.201281834,118.2045871,0,0
H,3.328561752,223.9459499,0,1
H,-4.959607834,418.1883174,1,0
G,-4.371105839,178.7577969,1,1
H,-39.68178698,199.8532216,0,0
I,3.006634421,-0.371079649,1,1
G,-34.99809852,425.8669221,1,1
H,-16.94051067,151.4392582,0,1
G,2.22697889,208.4616847,1,1
F,-12.55948849,301.7318069,1,1
H,-60.97472103,-124.1397877,0,1
G,28.07132134,189.3718938,1,1
H,33.10495605,668.7878801,0,1
H,-2.137727179,378.3601823,1,1
I,44.97927226,24.31961365,1,1
F,-25.52330002,350.5492912,1,1
F,26.33234972,-144.1059549,1,1
H,62.80747798,750.031053,0,1
H,-31.44186228,194.3518143,0,0
F,33.37828112,-416.2635881,1,1
F,40.08096038,161.696476,1,1
H,-24.59408346,152.2191081,0,0
H,-20.28812285,255.0297991,0,1
F,25.29035756,-43.21559471,1,1
F,23.09072222,-109.3578465,1,1
G,24.79975475,190.7824496,1,0
F,3.088787886,230.2404332,1,1
F,48.79173341,-383.6196112,1,0
G,4.034975903,122.644651,1,0
I,-2.597290715,62.77114024,1,0
H,11.62984436,583.6517382,0,1
F,35.39809632,-298.8243545,1,0
F,32.43036324,-103.496815,1,1
G,13.06713294,160.7631988,1,0
G,12.11527152,272.3240861,1,0
G,15.89171404,-121.4260455,1,1
H,-1.658239467,402.7200004,0,1
G,-11.89427519,401.8978211,1,0
G,-18.60752322,222.4659593,1,0
F,-28.08891069,339.1967312,1,0
F,15.18036005,-32.51831717,1,1
I,-11.73261523,98.87364384,1,1
F,8.829206171,45.08081389,1,0
H,-36.35034815,21.62011122,1,1
F,27.68405619,-388.0045145,1,1
H,-65.32951111,-117.1829241,0,1
F,-16.79903468,403.9168622,1,1
G,-12.80216753,384.3476892,1,1
G,21.43581288,309.4698851,1,1
I,21.28865255,-226.4098911,1,1
G,8.912425532,-65.21682958,1,0
I,8.208369747,31.11746481,1,1
I,-51.01922897,-37.87130074,1,1
I,14.8275417,-154.1527612,0,0
F,3.48227831,207.0083736,1,0
F,26.44585642,-40.34758181,1,1
I,7.008976846,-5.875766805,0,0
F,11.31301158,22.69013698,1,0
G,18.46918864,-138.8853344,1,0
F,8.236391228,39.73371949,1,1
H,-28.6517255,226.8216167,1,1
G,12.12408767,-102.2494151,1,1
I,0.280938494,83.62543108,0,0
F,8.370750154,12.08155347,1,0
H,16.499362,612.094997,0,0
H,-2.769969438,252.1727461,0,0
G,-21.71895972,429.7564994,1,0
I,12.75138885,-40.38173648,0,0
I,-23.23566008,12.55350778,1,1
F,17.4374096,79.06520297,1,1
H,32.78372494,579.5799419,0,1
H,-7.807631482,151.5945108,0,0
F,39.45596293,-125.6039323,0,0
G,20.57701941,88.87047385,1,0
F,1.232216811,212.3622866,1,0
I,-9.085987436,-101.6745499,1,0
F,8.64615212,302.3936457,1,0
F,52.37806868,-363.0953578,1,1
F,0.983871095,-10.23537047,1,0
H,-37.55815859,-26.52622862,0,1
F,-21.55733652,570.4174351,1,0
F,-4.916969679,60.27551922,1,1
H,-25.50758257,7.173212734,0,1
I,11.44743133,30.09370321,1,0
G,31.67510197,44.6769217,1,1
I,5.057835986,-61.04852177,1,0
I,-5.003060186,231.5429655,1,1
G,-0.914527395,280.189686,1,1
H,-29.94594129,64.97861244,0,0
G,-2.110960462,318.3735484,1,0
I,5.362346713,-42.03423812,1,1
F,3.352274197,255.0478072,1,1
F,29.15961884,-126.9251384,1,1
I,11.97132225,65.13484888,1,0
I,8.417752763,-82.68754322,1,0
I,12.47512295,-13.42276132,1,0
G,17.93503142,-1.849137548,1,0
F,21.12759311,160.2844836,1,1
F,18.39626377,12.89948087,1,0
G,6.028018419,221.1805738,1,1
G,-0.493302619,129.8845919,1,1
G,-11.36221786,266.9860252,0,1
G,3.830355433,432.1231384,1,0
G,33.39538048,-44.36088878,1,1
G,-19.34823376,312.4766879,1,0
F,12.34167504,-72.27181732,1,0
G,8.53014219,160.5435459,1,1
G,23.26204066,-95.79015619,1,0
G,-5.614650357,133.0569492,0,1
G,-3.129883033,141.7001346,1,1
G,25.26580687,-98.83153218,1,1
F,22.67580384,104.0660389,1,1
I,6.609003289,73.14174075,0,0
I,16.27467027,-66.19949045,1,0
G,-27.16796739,748.084089,1,0
I,-13.29261371,-85.03415536,1,1
I,-4.040075409,195.4443294,0,0
I,19.66427692,-30.58562666,0,1
G,2.59887216,356.5200826,1,0
H,-50.12557339,-207.4614104,0,1
I,15.91875492,-110.3805874,1,1
I,36.96243215,229.3939361,1,0
H,27.2673606,389.250675,0,1
G,16.18641108,133.843688,1,1
H,-53.10976026,10.98459993,0,0
F,0.126505835,374.7709277,1,0
H,7.686468729,459.6025058,0,1
G,4.600008597,135.9364588,1,0
F,-11.56471054,373.9498885,1,0
I,18.34921932,-0.657370746,1,0
I,-21.96539842,103.3354746,1,1
H,-39.9878784,76.87430789,0,1
F,0.60574271,180.8428327,1,0
G,1.478354004,74.64513585,1,0
I,-44.48484089,111.9259685,1,1
H,-20.56777675,373.1910178,0,0
I,36.56031158,-161.6040587,0,1
F,-18.30776708,491.5831875,1,1
F,10.88813074,-287.8384421,1,0
F,35.07385245,115.2182396,1,1
H,-18.62548,371.9826003,0,1
H,5.23873957,415.0442317,0,1
H,-27.83388308,236.1994738,0,0
F,-25.68202115,339.9414092,1,0
F,0.340805423,-19.7719119,1,0
F,6.816164653,287.2930891,1,1
F,14.93374071,-39.81338639,1,0
H,15.24641597,308.706652,0,0
F,18.16475733,63.74819622,0,0
F,43.44770863,93.06780696,0,0
F,7.972009114,104.3728188,1,0
I,-18.95245659,-171.554572,1,0
G,0.983602527,146.6251103,0,1
F,-1.368957156,9.439327918,1,0
F,-20.08505918,491.7450647,1,0
I,10.04041943,67.9962062,1,1
G,5.649326928,311.5019317,1,0
I,-29.82677347,7.180344281,1,1
F,22.5778111,-192.1888256,1,0
H,-20.91527222,262.1276404,0,0
G,-20.66978756,504.4062028,1,0
F,-29.22417969,459.0601567,1,0
H,27.24245312,537.2590623,0,0
H,-26.33341451,25.10918571,0,0
H,27.34493513,494.6861544,0,0
G,-11.84599536,537.9994518,1,1
F,49.62593606,-88.25660576,1,0
F,36.75718722,17.16564332,1,0
G,-13.69782057,281.9430883,1,1
H,-16.29430696,210.2704361,0,1
G,-2.33860248,175.370381,1,1
F,46.96062903,-224.6164103,1,0
H,30.3619728,442.1715688,0,0
G,-2.00068883,281.7230117,1,0
H,29.34457847,576.2649744,0,1
G,-9.130514515,35.41796434,1,1
F,-19.61851844,348.0586094,1,1
H,-39.15957972,-22.16518793,0,1
G,14.03065352,72.15331347,1,1
G,23.95839612,57.061112,0,1
H,33.95689818,382.1064854,0,0
F,22.83176986,-0.804355498,1,1
G,-15.25664037,430.7026499,0,1
H,15.74294976,177.1562746,0,1
F,1.305848421,141.3411313,1,1
H,-1.218911545,185.7264405,0,0
F,-10.03376072,425.563324,1,0
G,28.40326761,-76.22418004,1,0
F,41.86617096,-98.94902195,0,0
I,6.505122206,-115.3906904,0,1
G,49.7437589,40.62662935,1,0
F,17.95446363,127.6269176,1,1
I,2.203863193,-31.57788215,1,0
G,5.332403354,-34.18593583,1,0
G,-6.603318196,475.6560961,1,0
F,15.35166432,2.463809942,1,0
I,3.517425296,88.63012877,1,1
I,-4.760030794,-77.30121168,1,1
F,-32.99508725,803.952414,1,0
I,14.41701698,103.0526862,1,0
G,-16.54697245,243.2938274,1,1
I,-20.10398385,132.3800514,1,0
G,29.85627211,113.2369379,1,1
H,12.6354376,419.2916943,0,1
H,-1.961866178,232.0970741,0,1
I,15.05744011,-58.06275598,1,0
H,4.871043313,309.0032181,0,0
F,-5.488772551,191.9939865,1,1
H,-29.83588401,161.790819,0,0
I,-11.04477331,-132.5321596,1,1
G,-25.46790199,368.6359213,1,1
G,11.31824735,189.0231763,1,1
G,-22.46445199,357.5282177,1,1
F,4.639185245,345.6475763,1,1
H,-7.715814696,451.8672365,0,1
F,18.9040343,24.75622095,1,0
G,20.53658837,72.51553197,1,0
G,11.45009454,-51.70585766,1,1
H,-2.809339224,84.68035481,0,0
F,17.14256136,54.4885683,1,1
G,-16.27511846,319.9566997,1,0
G,-25.97295295,586.8397922,1,0
F,-7.095102716,176.0339272,1,0
H,-23.29493271,-101.1777838,0,1
I,35.53834169,-108.0724151,0,0
G,0.492110455,254.3740505,0,1
H,2.580124893,81.0788894,0,0
F,38.12797629,-258.6705146,1,0
G,-9.395594549,132.0327602,1,0
I,17.4529387,-197.7884992,0,1
F,10.3274766,-127.6480442,1,0
I,9.366661059,-15.5102361,1,1
F,-11.67517793,214.6574787,1,0
F,11.71685433,292.2516216,1,1
F,20.43505256,-4.376753349,1,0
G,23.9477784,-76.79247836,1,1
G,-32.0515939,447.9910538,1,0
I,-4.113226371,97.25635835,0,1
G,57.4613736,-404.7326143,1,1
H,13.59389744,644.3510483,0,1
G,26.49215734,-155.291058,1,0
F,12.29861358,38.88419754,1,0
F,-6.020678939,314.8406398,1,0
F,-0.617012789,488.7734076,1,0
G,-23.36263022,683.7920764,1,0
F,45.36574835,-157.793665,0,1
H,-47.65025234,169.6553008,0,1
G,-23.6202026,543.6301965,1,0
F,2.018666978,355.0817786,1,1
I,-0.580143852,-54.63087171,1,1
I,-8.539202485,265.3012409,0,0
I,-3.133005593,116.6508544,1,1
I,15.89476402,216.7655876,1,1
G,-40.781634,323.8535439,1,1
F,16.09512066,234.7412976,1,1
I,11.35298045,367.9562662,0,0
F,-16.44722397,473.3349788,1,0
G,-40.1376453,539.8608405,1,0
H,4.498226752,209.3126575,0,0
I,13.60314984,-102.828471,0,1
I,1.836484173,247.4717303,1,1
H,-37.69612124,-164.8540456,0,0
F,22.98157746,-115.0763937,1,0
I,-5.921821614,62.15214836,1,0
I,-12.65257845,36.0645724,1,1
G,34.21221005,100.2949345,0,1
G,15.85990158,182.2165384,1,0
H,-29.40232372,258.015194,0,0
H,-52.22726525,-104.9035113,1,1
H,29.76266834,384.5078618,0,0
H,32.77936707,600.9484352,0,0
I,20.82160215,69.42809105,0,1
F,16.11044523,143.9622847,1,1
I,-0.485523463,238.6881516,1,0
G,5.702903775,382.4854163,1,1
H,-3.053703271,274.8822884,0,1
G,-16.63083382,26.76026263,1,1
G,13.54810713,197.869481,1,1
I,5.343638723,169.2759206,1,1
F,17.49949006,161.0189585,1,1
I,11.64264041,-23.88961101,1,0
H,-19.70069066,209.3555375,0,1
G,-27.22989029,340.0632078,1,0
H,51.5248041,541.1849562,0,0
I,12.37344972,282.8132092,0,1
F,11.41540393,280.8559098,1,1
G,21.28174617,218.1711468,1,1
H,11.78632952,181.7995995,0,0
F,-5.006175454,90.5521154,1,1
H,19.05085572,413.6866662,0,1
G,16.34870657,122.3157129,1,1
I,19.1504274,13.09651946,1,1
I,69.41219675,167.60067,1,1
I,-3.38942674,134.9093989,1,0
F,31.67684587,-95.20546,1,0
H,7.74575344,229.3641987,0,0
H,-9.01972826,371.8806261,0,0
I,-48.21545594,-105.2045727,1,0
I,11.0293241,181.2415025,1,1
H,-6.125167631,489.3115106,0,0
G,15.58849313,176.8564144,1,1
G,-45.54397631,733.9167587,1,1
H,-18.59576916,276.3935487,0,0
F,-8.047326183,194.5249189,1,0
I,-8.06389597,31.5080365,1,0
G,-44.89363542,593.5571384,1,0
I,6.199917873,-46.73517746,1,0
H,-5.617279058,411.5552929,0,1
G,17.6544222,171.862682,1,0
G,20.41281431,39.1971328,1,0
H,-41.99763923,-63.31079189,0,0
G,2.519257852,406.1055778,0,0
H,-7.214436619,206.6903908,0,1
F,23.07964287,15.36885391,0,1
G,10.42686342,-19.90000504,1,1
F,19.96962347,12.88667686,1,1
H,-39.30442731,-163.4873211,0,0
H,-43.73224707,44.05977415,0,0
G,17.75741228,-97.7730976,1,1
G,-1.610418961,103.4910425,1,0
I,2.109347124,-151.8192829,1,1
H,20.682904,400.2733409,0,0
G,32.72984941,-83.66298078,1,1
G,8.531421652,172.7345488,1,0
F,22.1065233,75.736587,1,0
G,37.00000413,-81.36655505,1,1
F,26.62343292,25.14026407,1,1
G,2.215629478,110.8786953,1,0
H,9.843319755,344.4514714,0,1
G,18.21811705,131.80277,1,1
H,43.36143314,570.7918287,0,0
G,-9.334629733,250.1222095,1,1
F,-15.83435326,286.4431252,1,0
H,-7.866692505,-6.808309775,0,0
G,33.75174432,-233.1739953,1,0
I,5.731323975,67.20022324,1,1
I,27.85820889,-17.74880166,1,1
G,4.306852108,114.7354751,1,1
I,24.99588121,59.10580984,1,1
F,-21.5846383,569.8486765,1,1
I,10.55424993,61.86688223,0,1
H,5.923191816,278.4416848,0,1
F,10.96954729,-133.5545864,1,0
G,-31.89970764,468.1336744,1,0
F,-20.26264453,167.4967348,1,1
G,-32.27425029,647.9387974,1,0
I,4.641640997,-162.4509434,1,1
F,19.01100211,21.11357173,1,1
I,13.40289029,14.83354163,1,1
G,5.074927981,131.0118928,1,0
F,32.22857434,40.07663796,1,0
F,6.024096746,155.823213,1,1
G,-1.372191486,27.29347492,1,0
G,13.77438503,-26.50052146,0,1
I,10.16112702,51.0311433,1,1
I,35.09586589,72.8963041,1,1
I,22.12710606,24.86395568,1,1
F,-15.47549487,641.0134565,1,0
F,56.41326434,-448.4413364,0,1
G,-9.680507833,303.1187232,1,0
I,5.819039119,-138.7985829,0,0
G,-4.875852871,365.4526185,1,0
H,-42.27930205,40.27700382,0,0
I,-13.86316465,-125.6981359,1,0
G,36.06126312,-39.55835574,1,1
F,28.1009646,-326.1225502,1,0
H,-45.063865,119.3144603,0,0
I,-36.47793296,-69.94221571,1,1
F,-1.957417585,-6.068157443,1,1
H,-31.89062644,183.245309,0,1
H,7.914969974,312.9652387,0,0
H,-14.42832365,321.2865874,0,0
I,-6.540344415,185.1135035,1,0
H,1.606079891,110.5868347,0,1
H,10.97778907,138.5651884,0,0
F,1.944889314,315.8397107,1,0
H,-33.40109669,-165.553224,0,1
G,-11.88747738,214.2512339,1,0
G,4.798085864,179.8774144,1,1
G,14.94923745,285.7180275,1,1
I,9.150628542,-273.9547972,1,1
F,10.21326887,241.1536011,1,0
G,-26.47677945,133.5556407,1,1
H,26.20595494,351.1148755,0,0
I,-39.75421369,58.10615243,1,1
I,0.443636182,22.14246026,1,1
H,-22.42860594,233.6112991,0,0
F,29.08273349,-0.72407786,1,1
G,31.00389138,-156.6864211,1,1
H,-37.39626234,133.3599541,0,1
G,-19.30533335,437.5028098,1,0
F,27.06028998,-4.171625049,0,0
I,-19.32884775,-146.475396,1,1
I,-45.07405692,60.13661483,1,1
G,20.09435987,60.06630638,1,1
H,60.22535014,707.6185842,0,0
H,-35.71582947,-228.5828199,0,1
G,19.78380121,-78.21255725,1,0
F,4.966115979,149.2219007,1,0
F,27.73077216,179.2964245,1,1
G,8.923536943,-105.2709831,1,1
I,-18.22844483,-47.0521364,1,0
I,13.87654481,152.318008,0,0
F,29.34572153,11.44946367,1,0
I,22.53495603,243.4613716,1,1
I,33.92268348,154.1751145,1,1
H,-30.83814904,65.69332776,0,1
I,-5.974454272,-283.6917441,1,1
H,-16.96630049,121.9076767,0,0
F,14.7540383,104.6117195,0,0
H,-6.401282877,433.0322848,0,1
I,1.101028233,-39.36025804,1,0
G,12.19590144,246.9943416,1,1
I,13.58073126,-26.3408687,1,1
I,13.09871815,-47.86343729,1,1
H,-6.609202264,82.26529899,0,1
I,56.18107891,142.6790488,1,1
I,12.75079908,209.7973919,0,0
F,4.038940833,264.7918511,1,0
